window_id,joint,start_time_sec,end_time_sec,center_time_sec,mean_pos,min_pos,max_pos,range_pos,pla_mean_slope,pla_max_slope,pla_min_slope,pla_mse,pla_max_error,pla_slopes,pla_intercepts,energy,direction_label,motion_label,pla_shape_label,pla_fit_label,energy_label
2289,joint2,11.448893815,11.467895531,11.45840086265,0.5759586744377729,0.5759586430122141,0.5759587001358408,5.712362671772553e-08,3.0665556768104777e-07,9.535995936357875e-06,-1.2542847828428038e-05,2.516949095189886e-18,2.9322065886461246e-09,0.000010;-0.000004;0.000008;-0.000013,0.575849;0.576002;0.575866;0.576102,4.506135179849788e-15,stationary,small_motion,constant,good_fit,medium_energy
2290,joint2,11.453898898,11.47288309,11.4633952302,0.5759586697738163,0.5759586394350391,0.5759587001358408,6.070080171838299e-08,-1.1825360480794064e-06,8.0448157077572e-06,-1.2542847828428038e-05,2.858451275956979e-18,3.3662713727622418e-09,-0.000004;0.000008;-0.000013;0.000004,0.576002;0.575866;0.576102;0.575918,6.962668740496198e-15,stationary,small_motion,constant,good_fit,medium_energy
2291,joint2,11.458901817,11.477891078,11.468392346849999,0.5759586619411149,0.5759586169077648,0.5759587001358408,8.322807598659665e-08,-2.8130350258249575e-06,8.0448157077572e-06,-1.2542847828428038e-05,4.774606391439353e-18,3.957947969368547e-09,0.000008;-0.000013;0.000004;-0.000010,0.575866;0.576102;0.575918;0.576077,1.0968147761924191e-14,stationary,small_motion,constant,good_fit,medium_energy
2292,joint2,11.463909013,11.482892354,11.473390700400001,0.5759586430928894,0.5759586019346594,0.5759586988099263,9.687526691948278e-08,-3.615304230226481e-06,4.835738890151106e-06,-1.2542847828428038e-05,9.881067492966555e-18,5.879240649875328e-09,-0.000013;0.000004;-0.000010;0.000005,0.576102;0.575918;0.576077;0.575903,1.4146294440950967e-14,stationary,small_motion,constant,good_fit,medium_energy
2293,joint2,11.468885783,11.487901264,11.4783892057,0.5759586351047975,0.5759586019346594,0.5759586571168329,5.518217349731458e-08,-1.714677583035036e-07,4.835738890151106e-06,-1.0333337455945051e-05,1.3058118541025325e-17,5.879240649875328e-09,0.000004;-0.000010;0.000005;0.000001,0.575918;0.576077;0.575903;0.575944,5.91169032115519e-15,stationary,small_motion,constant,good_fit,medium_energy
2294,joint2,11.473893771,11.492883844,11.48338876855,0.5759586337372941,0.5759586019346594,0.5759586571168329,5.518217349731458e-08,-1.5748888474919523e-08,4.835738890151106e-06,-1.0333337455945051e-05,1.5752707896738758e-17,5.879240649875328e-09,-0.000010;0.000005;0.000001;0.000004,0.576077;0.575903;0.575944;0.575910,5.556546445928901e-15,stationary,small_motion,constant,good_fit,medium_energy
2295,joint2,11.47888632,11.497884589,11.488392258849998,0.5759586448382491,0.5759586019346594,0.5759586943422859,9.240762643969447e-08,4.2872485018878725e-06,6.8786521055061175e-06,1.2324980592638725e-06,1.725250757467126e-17,5.879240649875328e-09,0.000005;0.000001;0.000004;0.000007,0.575903;0.575944;0.575910;0.575880,1.536996001908478e-14,stationary,small_motion,constant,good_fit,medium_energy
2296,joint2,11.483906952,11.502897246,11.49339428835,0.5759586615422545,0.5759586334229674,0.5759586943422859,6.091931847862497e-08,1.809349510913481e-06,6.8786521055061175e-06,-5.075857073746462e-06,1.2626034416154855e-17,5.091375765431394e-09,0.000001;0.000004;0.000007;-0.000005,0.575944;0.575910;0.575880;0.576017,8.893439758688817e-15,stationary,small_motion,constant,good_fit,medium_energy
2297,joint2,11.488887068,11.50789263,11.498394744900002,0.575958670310999,0.5759586334229674,0.5759586943422859,6.091931847862497e-08,2.3279982682617057e-06,6.8786521055061175e-06,-5.075857073746462e-06,9.27446825169338e-18,5.091375765431394e-09,0.000004;0.000007;-0.000005;0.000003,0.575910;0.575880;0.576017;0.575921,7.462476876662813e-15,stationary,small_motion,constant,good_fit,medium_energy
2298,joint2,11.49391809,11.512887163,11.50339647485,0.5759586745497383,0.5759586333897779,0.5759586943422859,6.095250792981233e-08,-1.6300276000565414e-06,6.8786521055061175e-06,-1.1629998520642594e-05,5.2511666186039294e-18,4.76902295432069e-09,0.000007;-0.000005;0.000003;-0.000012,0.575880;0.576017;0.575921;0.576093,4.512366167287461e-15,stationary,small_motion,constant,good_fit,medium_energy
